Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
06/19/2020 02:00:00 PM,06/19/2020 02:30:00 PM,Pelham Bay Park,Bike path leading to City Island,Chicken,Employee,Domestic,Injured,3,Adult,Birds,NA,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
06/19/2020 08:20:00 AM,06/19/2020 08:20:00 AM,Van Cortlandt Park,Tennis courts by the nature center,Red-eared Slider,Public,Invasive,Healthy,5.15,Adult,Terrestrial Reptile or Amphibian,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/15/2020 09:45:00 AM,06/15/2020 09:45:00 AM,Pelham Bay Park,Wilkinson Ave and Bruckner Blvd,Cat,Employee,Domestic,Unhealthy,1,Infant,Domestic,311-02784426,ACC,4,FALSE,FALSE,NA,NA,FALSE,FALSE,128389
06/15/2020 02:00:00 PM,06/15/2020 02:00:00 PM,Crotona Park,Crotona Ave and Claremont Parkway,Mallard Duck,Public,Native,Healthy,1.5,Infant,Birds,311-02772481,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
06/12/2020 08:27:00 AM,06/12/2020 08:43:00 AM,Van Cortlandt Park,Rockwood Circle,White-tailed Deer,Central,Native,DOA,3,Adult,Deer,311-02742479,Submitted for DEC Testing,1,FALSE,FALSE,NA,NA,TRUE,FALSE,NA
06/08/2020 02:05:00 PM,06/08/2020 02:06:00 PM,Van Cortlandt Park,Parade Grounds,Red-eared Slider,Other,Invasive,Healthy,0.25,Adult,Terrestrial Reptile or Amphibian,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/06/2020 09:35:00 AM,06/06/2020 09:38:00 AM,Van Cortlandt Park,"Parade ground, Broadway side",White-tailed Deer,Central,Native,N/A,0.5,Juvenile,Deer,0,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
06/05/2020 02:30:00 PM,06/05/2020 02:45:00 PM,Pelham Bay Park,Pelham Bay Nature Center,House Sparrow,Public,Native,Healthy,1,Juvenile,Birds,NA,Relocated/Condition Corrected,1,FALSE,TRUE,NA,0.5,FALSE,FALSE,NA
06/04/2020 02:15:00 PM,06/04/2020 02:15:00 PM,Van Cortlandt Park,Parade ground trail,Red-eared Slider,Public,Invasive,Healthy,0.75,Adult,Terrestrial Reptile or Amphibian,0,Monitored Animal,3,FALSE,TRUE,NA,0.5,FALSE,FALSE,NA
06/02/2020 11:50:00 AM,06/02/2020 11:50:00 AM,Starlight Park,Athletic Field,American Crow,Observed by Ranger,Native,Injured,1.5,Adult,Birds,311-02651950,Rehabilitator,1,FALSE,TRUE,Wild Bird Fund,0.25,FALSE,FALSE,NA
06/01/2020 03:15:00 PM,06/01/2020 03:15:00 PM,Van Cortlandt Park,Van Cortlandt Nature Center,Mallard Duck,Public,Native,Healthy,1.5,Infant,Birds,311-02644909,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
05/31/2020 02:00:00 PM,05/31/2020 02:15:00 PM,Pelham Bay Park,"Orchard Beach M&O Office (40.865801, -73.795085)",Raccoon,Central,Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,311-02635475,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,95277
05/30/2020 02:30:00 PM,05/30/2020 02:45:00 PM,Pelham Bay Park,"Outside Orchard Beach M&O Office (40.865801, -73.795085)",Raccoon,Employee,Native,Injured,1.5,Juvenile,Small Mammals-RVS,311-02623508,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,95186
05/28/2020 10:30:00 AM,05/21/2020 11:00:00 AM,Benjamin Gladstone Square,In the green area of the square,Rock Dove,Central,Native,Unhealthy,1.25,Adult,Birds,311-02603133,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
05/27/2020 06:10:00 PM,05/27/2020 06:15:00 PM,Van Cortlandt Park,Rockwood Drive,Dog,Employee,Domestic,Healthy,0.5,Adult,Domestic,NA,ACC,1,FALSE,FALSE,NA,NA,TRUE,FALSE,NA
05/25/2020 08:20:00 AM,05/25/2020 08:22:00 AM,Macombs Dam Park,Heritage Field Playground,Virginia Opossum,Central,Native,Healthy,1,Juvenile,Small Mammals-non RVS,311-02569010,Relocated/Condition Corrected,1,FALSE,TRUE,NA,0.25,FALSE,FALSE,NA
