Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
10/17/2019 08:00:00 PM,10/18/2019 01:15:00 PM,Central Park,Conservatory Water,Mallard Duck,Public,Native,Injured,0.25,Adult,Birds,NA,Monitored Animal,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
10/15/2019 12:15:00 AM,10/15/2019 01:00:00 PM,Columbus Circle,Columbus Circle Building Window,Woodpecker (Unknown),Public,Native,N/A,0.5,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
10/11/2019 09:30:00 AM,10/11/2019 12:00:00 PM,High Line,cross Street: 21st St,Northern Flicker,"Conservancies/""Friends of"" Groups",Native,Injured,1.5,Adult,Birds,311-00851033,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
10/04/2019 02:40:00 PM,10/04/2019 02:45:00 PM,Central Park,Heckscher Ballfields,Red-tailed Hawk,Central,Native,Healthy,0.5,Adult,Raptors,311-00795563,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
10/02/2019 11:00:00 AM,10/02/2019 11:30:00 AM,Morningside Park,Northeast side of pond,Red-Eared Slider,Central,Invasive,Healthy,0.5,Adult,Terrestrial Reptile or Amphibian,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
09/30/2019 02:45:00 PM,09/30/2019 03:30:00 PM,Central Park,"Dana Discovery Center, 110 street and Lenox Ave.",Canada Goose,Employee,Native,Healthy,1,Adult,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
09/26/2019 04:30:00 PM,09/26/2019 04:35:00 PM,Central Park,1234 5th Ave,Red-tailed Hawk,Public,Native,Healthy,0.25,Juvenile,Raptors,NA,Monitored Animal,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
09/20/2019 03:00:00 PM,09/20/2019 03:30:00 PM,Central Park,Dana Center,Canada Goose,"Conservancies/""Friends of"" Groups",Native,Injured,1,Adult,Birds,311-00684231,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
09/18/2019 04:15:00 PM,09/18/2019 04:40:00 PM,Central Park,"The Ramble @ 76th St   GPS 40.778117, -73.970855",Raccoon,Central,Native,Unhealthy,3,Adult,Small Mammals-RVS,311-00667308,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,76234
09/17/2019 02:30:00 PM,09/17/2019 02:32:00 PM,Central Park,"100th Street Pool, west side by the boardwalk",Raccoon,Public,Native,DOA,2.5,Adult,Small Mammals-RVS,311-00659216,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
09/15/2019 04:15:00 PM,09/15/2019 04:20:00 AM,Inwood Hill Park,Just west of the Payson Visitor Center on the lawn almost to the curb on Dyckman Street,Raccoon,Observed by Ranger,Native,Healthy,0.25,Juvenile,Small Mammals-RVS,NA,Relocated/Condition Corrected,2,FALSE,TRUE,NA,NA,FALSE,FALSE,NA
09/13/2019 09:30:00 AM,09/13/2019 01:10:00 PM,Central Park,Conservatory Garden cross streets 5th Ave and 104th St,Cat,"Conservancies/""Friends of"" Groups",Domestic,Healthy,2,Adult,Domestic,311-00625265,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,75700
09/11/2019 02:45:00 PM,09/12/2019 03:00:00 PM,Central Park,Central Park West between W 81st and 82nd Streets,Eastern Gray Squirrel,Public,Native,Injured,1,Juvenile,Small Mammals-non RVS,NA,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
09/09/2019 10:55:00 AM,09/09/2019 10:55:00 AM,Central Park,Dairy Vistor Center,Bird (Unknown),"Conservancies/""Friends of"" Groups",Native,N/A,0.15,Juvenile,Birds,NA,Advised/Educated others,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
07/19/2019 12:59:00 PM,07/19/2019 01:30:00 PM,Fort Tryon Park,Entrance at Sherman & Broadway,Wild Turkey,Public,Native,N/A,1,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
08/30/2019 05:03:00 PM,08/30/2019 05:04:00 PM,Central Park,North woods: 105th/ E drive,Corn Snake,Public,Exotic,Healthy,1.5,Adult,Terrestrial Reptile or Amphibian,311-00509601,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,96426
08/30/2019 03:30:00 PM,08/30/2019 03:35:00 PM,Central Park,"North Woods, south end of the Loch, near the flower meadow and cross drive",Rock Dove,Employee,Native,Injured,1.5,Adult,Birds,311-00508993,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
08/27/2019 08:50:00 AM,08/27/2019 09:00:00 AM,Highbridge Park,167th st and edgecomb Near the Coogans Bluff Playground/ John T. Brush Staircase,Chicken,Public,Domestic,N/A,0.75,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
08/28/2019 03:00:00 PM,08/28/2019 03:00:00 PM,Central Park,North Reservoir,Herring Gull,Public,Native,Unhealthy,1,Juvenile,Birds,311-00493283,Rehabilitator,1,FALSE,TRUE,Wild Bird Fund,0.5,FALSE,FALSE,NA
