Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
11/02/2018 08:30:00 AM,11/02/2018 09:00:00 AM,Prospect Park,"Long Meadow/ Ball field 4 40.661698, -73.973029",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.5,Adult,Small Mammals-RVS,1-1-1636062570,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,46257
11/01/2018 01:00:00 PM,11/01/2018 01:10:00 PM,Prospect Park,Peninsula,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.1,Adult,Small Mammals-RVS,1-1-1636481431,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,46194
11/01/2018 11:25:00 AM,11/01/2018 11:40:00 AM,Prospect Park,By 3rd Street and Garfield Place,Raccoon,Public,Native,Healthy,0.5,Juvenile,Small Mammals-RVS,NA,Monitored Animal,1,FALSE,TRUE,NA,0.25,FALSE,FALSE,NA
11/01/2018 11:20:00 AM,11/01/2018 11:20:00 AM,Prospect Park,Across from Wellhouse comfort station. By lake.,Raccoon,Public,Native,Healthy,0.25,Juvenile,Small Mammals-RVS,NA,Monitored Animal,1,FALSE,TRUE,NA,0.25,FALSE,FALSE,NA
11/01/2018 09:26:00 AM,11/01/2018 09:30:00 AM,Prospect Park,By the Peninsula,Raccoon,Employee,Native,Healthy,1.5,Adult,Small Mammals-RVS,NA,Monitored Animal,1,FALSE,TRUE,NA,0.5,FALSE,FALSE,NA
10/30/2018 04:30:00 PM,10/31/2018 01:30:00 PM,Prospect Park,Wellhouse,Raccoon,Public,Native,Unhealthy,21,Adult,Small Mammals-RVS,1-1-1638258402,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
10/31/2018 10:00:00 AM,10/31/2018 10:15:00 AM,Prospect Park,Lullwater,Raccoon,Employee,Native,Unhealthy,0.25,Adult,Small Mammals-RVS,1-1-1636032393,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,46078
10/31/2018 09:40:00 AM,10/31/2018 09:45:00 AM,Prospect Park,Long Meadow near 3rd street entrance,Raccoon,Employee,Native,Unhealthy,0,Adult,Small Mammals-RVS,1-1-1636032392,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,46077
10/31/2018 09:00:00 AM,10/31/2018 09:30:00 AM,Prospect Park,Prospect Park Garage,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.5,Adult,Small Mammals-RVS,1-1-1636032391,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,46076
10/30/2018 11:15:00 AM,10/30/2018 11:30:00 AM,Prospect Park,"40.6629253, -73.9706536",Raccoon,Observed by Ranger,Native,DOA,0.25,Juvenile,Small Mammals-RVS,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
10/30/2018 01:25:00 PM,10/30/2018 01:30:00 PM,Prospect Park,Bartel Prichard Square (40.660761 - 73.978214),Raccoon,Public,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1636032340,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,46014
10/29/2018 12:00:00 PM,10/29/2018 12:00:00 PM,Prospect Park,Lincoln Road/East Drive,Dog,Public,Domestic,Injured,1,Adult,Domestic,1-1-1636604010,ACC,1,TRUE,FALSE,NA,NA,TRUE,FALSE,45894
10/29/2018 11:00:00 AM,10/29/2018 12:00:00 PM,Prospect Park,"South Lullwater; 40.659482, -73.966999",Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1631200931,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,45902
10/29/2018 11:00:00 AM,10/29/2018 12:00:00 PM,Prospect Park,Breeze Hill (40.659636 - 73.965214),Raccoon,Employee,Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1631200931,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,45903
10/28/2018 11:50:00 AM,10/28/2018 12:10:00 PM,Prospect Park,"West Drive and 16th St. (40.6575713, -73.9736110)",Raccoon,Employee,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1629621430,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,45790
10/28/2018 10:45:00 AM,10/28/2018 10:45:00 AM,Prospect Park,"South Lullwater just north of Terrace Bridge; 40.658459, -73.968532",Raccoon,Public,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1636206020,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,45767
10/26/2018 01:30:00 PM,10/26/2018 02:35:00 AM,Prospect Park,"East Arch 40.662252, -73.965346",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.75,Juvenile,Small Mammals-RVS,1-1-1636492030,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,45609
10/25/2018 12:00:00 PM,10/25/2018 12:30:00 PM,Prospect Park,Peninsula 40.656361 - 73.968939,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,1,Adult,Small Mammals-RVS,1-1-1636062010,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,45524
10/25/2018 09:30:00 AM,10/25/2018 03:30:00 PM,Prospect Park,Wellhouse Drive   40.656628 - 73.970484,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,4,Adult,Small Mammals-RVS,1-1-1636062010,ACC,1,FALSE,TRUE,NA,2,FALSE,FALSE,45525
10/25/2018 09:30:00 AM,10/25/2018 10:00:00 AM,Prospect Park,"Prospect Park Garage 40.665188,-73.974566",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1630083931,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,45478
10/19/2018 03:20:00 PM,10/19/2018 04:00:00 PM,Garden Playground,Beaver St. Btwn Fayette and Egbert,Canada Goose,Employee,Native,DOA,1,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
10/24/2018 12:15:00 PM,10/24/2018 12:30:00 PM,Prospect Park,"North Lullwater 40.659659,-73.967850",Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,2,Adult,Small Mammals-RVS,1-1-1632704640,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,45406
10/24/2018 11:00:00 AM,10/24/2018 12:30:00 PM,Prospect Park,"Concert Grove 40.658969,-73.963934",Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,2,Adult,Small Mammals-RVS,1-1-1632704640,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,45405
10/24/2018 08:00:00 AM,10/24/2018 12:30:00 PM,Prospect Park,"Lookout Hill 40.658186,-73.972560",Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,2,Adult,Small Mammals-RVS,1-1-1632704640,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,45404
10/23/2018 04:45:00 PM,10/23/2018 05:10:00 PM,Prospect Park,Center Drive and East Drive,Raccoon,Employee,Native,Unhealthy,0.75,Adult,Small Mammals-RVS,NA,Monitored Animal,1,FALSE,TRUE,NA,NA,FALSE,FALSE,NA
10/23/2018 11:00:00 AM,10/23/2018 11:30:00 AM,Prospect Park,"Lakeside, near the water",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1632352621,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,45308
10/21/2018 08:45:00 AM,10/21/2018 09:00:00 AM,Prospect Park,"Grand Army Plaza at East Drive and Flatbush Avenue 40.672331, -73.969383",Raccoon,Central,Native,Injured,2.5,Adult,Small Mammals-RVS,1-1-1629918870,ACC,1,FALSE,FALSE,NA,NA,TRUE,FALSE,45120
10/01/2018 11:30:00 AM,10/01/2018 12:00:00 PM,Red Hook Recreation Area,Near the food trucks,Eastern Gray Squirrel,Public,Native,Injured,1.5,Juvenile,Small Mammals-non RVS,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
10/10/2018 04:00:00 PM,10/10/2018 05:00:00 PM,Decatur Playground,between tennis courts and basketball courts,Bird (Unknown),Central,Native,N/A,2,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
10/21/2018 05:00:00 PM,10/21/2018 05:00:00 PM,Marine Park,Gerritsen Beach,Brant Goose,Public,Native,Injured,1,Adult,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
10/20/2018 09:30:00 AM,10/20/2018 10:00:00 AM,Prospect Park,South of LeFrak Center,Canada Goose,Central,Native,Injured,1,Adult,Birds,1-1-1633239120,ACC,1,FALSE,TRUE,NA,0.5,FALSE,FALSE,45032
10/19/2018 11:30:00 AM,10/19/2018 11:45:00 AM,Prospect Park,"Prospect Park Lake, across from the Peristyle",Mute Swan,Central,Invasive,Injured,0.5,Juvenile,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
10/19/2018 09:10:00 AM,10/19/2018 09:22:00 AM,Prospect Park,Inside a dumpster north of Prospect Park Picnic House,Raccoon,Central,Native,N/A,0.5,Adult,Small Mammals-RVS,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
