Date and Time of initial call,Date and time of Ranger response,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
05/16/2021 02:15:00 PM,05/16/2021 02:45:00 PM,Wolfe's Pond Park,Behind Acme Pond by Tottenville H.S Eyelandt and Luden,Raccoon,Employee,Native,Healthy,0.5,Infant,Small Mammals-RVS,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
05/14/2021 09:55:00 AM,05/14/2021 09:55:00 AM,Clove Lakes Park,Barbecue Area,Domestic Turkey,Employee,Domestic,Healthy,2.5,Adult,Domestic;#Birds,311-06257788,ACC,1,TRUE,FALSE,NA,NA,FALSE,FALSE,116865
05/13/2021 01:00:00 PM,05/13/2021 01:00:00 PM,Clove Lakes Park,bridge near the Stonehouse restaurant,Common Grackle,Employee,Native,Injured,0.5,Adult,Birds,NA,Advised/Educated others,1,TRUE,FALSE,NA,NA,FALSE,FALSE,NA
05/11/2021 05:50:00 PM,05/11/2021 05:51:00 PM,Blue Heron Park,Blue Heron Nature Center,House Sparrow,Observed by Ranger,Native,Healthy,0.5,Juvenile,Birds,NA,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
05/11/2021 02:15:00 PM,05/11/2021 02:16:00 PM,Bradys Pond Park,Hylan Blvd.,Mallard Duck,Employee,Native,Healthy,1,Adult;#Infant,Birds,NA,Unfounded,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
05/08/2021 11:00:00 AM,05/08/2021 11:10:00 AM,Ocean Breeze Track & Field Athletic Complex,Near track facility's Garage,Ring-billed Gull,Employee,Native,Injured,4,Adult,Birds,311-06201020,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,NA,FALSE,FALSE,NA
04/30/2021 11:20:00 AM,05/07/2021 11:25:00 AM,Levy Park,"40.63393, -74.12911",Raccoon,Central,Native,Unhealthy,1,Adult,Small Mammals-RVS,311-061-89870,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,116347
05/06/2021 07:30:00 AM,05/06/2021 09:20:00 AM,Blue Heron Park,Nature Center,Chicken,Observed by Ranger,Domestic,Unhealthy,1.25,Adult,Domestic;#Birds,311-0617-9502,ACC,7,FALSE,FALSE,NA,NA,FALSE,FALSE,116237 116238 116239 116240 116241 116242 116243
05/03/2021 02:50:00 PM,05/03/2021 03:30:00 PM,Bloomingdale Park,End of Maguire Ave,Cat,Employee,Domestic,Healthy,1,Adult,Domestic,NA,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,116110
04/28/2021 01:30:00 PM,04/28/2021 01:45:00 PM,Westerleigh Park,Under a tree by the gazebo,Eastern Gray Squirrel,Employee,Native,Injured,2,Juvenile,Small Mammals-non RVS,NA,Relocated/Condition Corrected,1,FALSE,TRUE,NA,0.25,FALSE,FALSE,NA
04/26/2021 04:00:00 PM,04/28/2021 06:30:00 PM,Willowbrook Park,Maintenance Office,Yellow-bellied Slider,Employee,Exotic,Injured,3.75,Adult,Terrestrial Reptile or Amphibian,NA,ACC,1,FALSE,FALSE,NA,NA,FALSE,FALSE,115669
04/19/2021 12:25:00 PM,04/19/2021 12:48:00 PM,Cedar Grove Park,Cedar Grove field on Cedar Grove Rd,Brant Goose,Employee,Native,Injured,2,Adult,Birds,NA,Monitored Animal,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
04/14/2021 11:30:00 AM,04/14/2021 11:45:00 AM,Wolfe's Pond Park,On beach at end of Holten Ave,Bottlenose Dolphin,Employee,Native,DOA,1,Adult,"Marine Mammals-whales, Dolphin",311-05965439,Relocated/Condition Corrected,1,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
